party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
D,502,23,,http://www.feinstein.senate.gov/public/?a=rss.feed,www.feinstein.senate.gov,92.43,3.34887E+14,kg:/m/01gqws,F000062,CA,senatorfeinstein,13,http://www.feinstein.senate.gov,2.59,https://api.propublica.org/congress/v1/members/F000062.json,1332,,Dianne,Feinstein,Dianne Feinstein,,2018,0,SenFeinstein
R,502,3,,http://www.flake.senate.gov/public/?a=rss.feed,flake.senate.gov,85.45,,kg:/m/024p7j,F000444,AZ,senatorjeffflake,21,http://www.flake.senate.gov,4.18,https://api.propublica.org/congress/v1/members/F000444.json,1633,,Jeff,Flake,Jeff Flake,,2018,0,JeffFlake
D,502,7,,https://www.franken.senate.gov/rss/,,94.88,,kg:/m/01lct6,F000457,MN,,14,https://www.franken.senate.gov,2.79,https://api.propublica.org/congress/v1/members/F000457.json,1969,,Al,Franken,Al Franken,,2020,0,
R,502,3,,,fischer.senate.gov,94.42,5.31624E+14,kg:/m/0c4cp0,F000463,NE,senatordebfischer,0,http://www.fischer.senate.gov,0,https://api.propublica.org/congress/v1/members/F000463.json,2179,,Deb,Fischer,Deb Fischer,,2018,0,SenatorFischer
R,502,13,,http://www.lgraham.senate.gov/public/?a=rss.feed,,83.64,2.57938E+11,kg:/m/01_pdg,G000359,SC,USSenatorLindseyGraham,123,http://www.lgraham.senate.gov,24.5,https://api.propublica.org/congress/v1/members/G000359.json,452,,Lindsey,Graham,Lindsey Graham,,2020,0,GrahamBlog
R,502,35,,http://www.grassley.senate.gov/?q=rss.xml,,92.43,1.06481E+11,kg:/m/020ymy,G000386,IA,grassley,0,http://www.grassley.senate.gov,0,https://api.propublica.org/congress/v1/members/G000386.json,457,E.,Charles,Grassley,Charles Grassley,,2016,0,ChuckGrassley
D,502,7,,,www.gillibrand.senate.gov,94,,kg:/m/0gnfc4,G000555,NY,,2,http://www.gillibrand.senate.gov,0.4,https://api.propublica.org/congress/v1/members/G000555.json,1866,E.,Kirsten,Gillibrand,Kirsten Gillibrand,,2018,0,SenGillibrand
R,502,1,,,,89.61,1.60925E+14,kg:/m/0czd33q,G000562,CO,CongressmanGardner,11,http://www.gardner.senate.gov,2.19,https://api.propublica.org/congress/v1/members/G000562.json,1998,,Cory,Gardner,Cory Gardner,,2020,0,SenCoryGardner
R,502,39,,http://www.hatch.senate.gov/public/index.cfm/rss/feed,www.hatch.senate.gov,90.78,,kg:/m/016mj4,H000338,UT,,3,http://www.hatch.senate.gov,0.6,https://api.propublica.org/congress/v1/members/H000338.json,1351,G.,Orrin,Hatch,Orrin Hatch,,2018,1,SenOrrinHatch
R,502,5,,,www.heller.senate.gov,80.49,3.25751E+11,kg:/m/0g92xz,H001041,NV,SenDeanHeller,15,http://www.heller.senate.gov,2.99,https://api.propublica.org/congress/v1/members/H001041.json,1863,,Dean,Heller,Dean Heller,,2018,0,SenDeanHeller
D,502,3,,https://www.hirono.senate.gov/rss/feeds/,hirono.senate.gov,96.41,,kg:/m/0357cd,H001042,HI,,1,https://www.hirono.senate.gov,0.2,https://api.propublica.org/congress/v1/members/H001042.json,1844,K.,Mazie,Hirono,Mazie Hirono,,2018,0,MazieHirono
D,502,3,,,heinrich.senate.gov,94.59,1.37523E+11,kg:/m/02qkv0r,H001046,NM,MartinHeinrich,3,http://www.heinrich.senate.gov,0.6,https://api.propublica.org/congress/v1/members/H001046.json,1937,,Martin,Heinrich,Martin Heinrich,,2018,0,MartinHeinrich
R,502,5,,,www.hoeven.senate.gov/public/,92.34,1.94483E+14,kg:/m/01qb45,H001061,ND,SenatorJohnHoeven,6,http://www.hoeven.senate.gov,1.2,https://api.propublica.org/congress/v1/members/H001061.json,2079,,John,Hoeven,John Hoeven,,2016,0,SenJohnHoeven
